side,dimension,n,scale_max,mae,mae_ci_lo,mae_ci_hi,rmse,bias_claude_minus_human,exact_pct,within_1_pct,within_2_pct,weighted_kappa_quadratic,wk_ci_lo,wk_ci_hi,spearman_r,pearson_r,gwet_ac1,ac1_ci_lo,ac1_ci_hi,krippendorff_alpha_ordinal
pro,acknowledgment,20,5,0.6,0.35,0.85,0.8366600265340756,-0.2,0.45,0.95,1.0,0.34883720930232553,-0.07843137254901977,0.6316985645933014,0.37274252242804334,0.4044610910517667,0.34959349593495936,0.10177958689362848,0.5982783357245337,0.3530805687203792
pro,accuracy_of_representation,20,5,0.7,0.45,0.95,0.8944271909999159,0.3,0.35,0.95,1.0,0.4539249146757679,0.17321418455786544,0.65625,0.55231836526346,0.5161051237759754,0.21804511278195488,-0.025660377358490537,0.47022299615976737,0.45070422535211263
pro,responsiveness,20,5,0.7,0.45,0.9512499999999988,0.9486832980505138,0.0,0.4,0.9,1.0,0.08163265306122458,-0.4375,0.5045244007258141,0.0037192329278032134,0.08206099398622188,0.29696082021237646,0.05737651889653815,0.5448079658605974,0.10459183673469385
pro,concession_and_common_ground,20,3,0.15,0.0,0.3,0.3872983346207417,-0.15,0.85,1.0,1.0,0.7058823529411764,0.34782608695652173,1.0,0.784070202132019,0.7863336509949342,0.8140975987606507,0.5914281550568348,1.0,0.706766917293233
pro,respectful_engagement,20,5,0.75,0.55,0.95,0.9219544457292888,-0.35,0.3,0.95,1.0,0.587378640776699,0.2408779761904763,0.7488713221409689,0.6448881524783211,0.7090587621262942,0.14536436474628006,-0.05100463678516226,0.3944324884334169,0.5853658536585366
con,acknowledgment,20,5,0.45,0.2,0.7,0.7416198487095663,-0.15,0.6,0.95,1.0,0.42105263157894735,0.0,0.7778985507246375,0.42870148709208483,0.4354003441841079,0.5281975672687061,0.28702722819515153,0.7716853998798775,0.4287616511318242
con,accuracy_of_representation,20,5,0.4,0.2,0.6,0.6324555320336759,-0.2,0.6,1.0,1.0,0.19191919191919193,-0.22222222222222232,0.5294117647058824,0.20441907985364977,0.20879120879120874,0.5513494567122327,0.31132811233133545,0.782608695652174,0.17894736842105252
con,responsiveness,20,5,0.7,0.45,0.95,0.8944271909999159,-0.6,0.35,0.95,1.0,0.5294117647058824,0.2647058823529411,0.6988253012048192,0.6995736547003644,0.6719412301104973,0.2150943396226415,-0.029932425093610104,0.4647088439972137,0.48684210526315785
con,concession_and_common_ground,20,3,0.1,0.0,0.25,0.31622776601683794,0.1,0.9,1.0,1.0,0.736842105263158,0.2857142857142857,1.0,0.7637626158259734,0.7637626158259734,0.8769230769230769,0.687743950039032,1.0,0.74
con,respectful_engagement,20,5,0.6,0.3,0.9012499999999989,0.8944271909999159,-0.1,0.5,0.9,1.0,0.5015576323987538,0.1319392465069859,0.7727272727272727,0.5177031790830079,0.5138736975122751,0.3946273174423004,0.1427313832979873,0.6456452708283621,0.5125
