debate_id,agreed_before,agreed_after,switch_direction,claude_judgment
551,Tie,Pro,Pro,Con
553,Con,Pro,Pro,Tie
1156,Con,Pro,Pro,Pro
1401,Con,Pro,Pro,Con
1560,Pro,Con,Con,Tie
1560,Tie,Con,Con,Tie
1644,Tie,Con,Con,Pro
1644,Tie,Con,Con,Pro
1644,Con,Pro,Pro,Pro
1667,Con,Pro,Pro,Con
1805,Pro,Con,Con,Pro
2000,Tie,Con,Con,Pro
2000,Con,Pro,Pro,Pro
2407,Tie,Con,Con,Pro
2423,Tie,Con,Con,Tie
2423,Tie,Pro,Pro,Tie
2423,Tie,Con,Con,Tie
2460,Tie,Pro,Pro,Pro
2856,Con,Pro,Pro,Pro
2863,Tie,Pro,Pro,Pro
3137,Con,Tie,Pro,Con
3607,Con,Pro,Pro,Con
3757,Pro,Con,Con,Tie
4206,Tie,Con,Con,Pro
4206,Tie,Pro,Pro,Pro
4899,Tie,Pro,Pro,Pro
6102,Tie,Con,Con,Tie
6722,Tie,Con,Con,Pro
6861,Con,Pro,Pro,Con
6875,Pro,Tie,Con,Con
6875,Tie,Con,Con,Con
7157,Tie,Con,Con,Pro
7178,Tie,Pro,Pro,Pro
7178,Con,Pro,Pro,Pro
8198,Tie,Con,Con,Pro
8210,Tie,Con,Con,Tie
8214,Tie,Pro,Pro,Tie
8214,Tie,Pro,Pro,Tie
8283,Con,Tie,Pro,Pro
8667,Con,Pro,Pro,Con
9760,Tie,Pro,Pro,Pro
9775,Tie,Con,Con,Con
9904,Tie,Con,Con,Con
10200,Con,Tie,Pro,Con
10636,Con,Tie,Pro,Pro
10636,Tie,Con,Con,Pro
11171,Con,Pro,Pro,Pro
11352,Tie,Pro,Pro,Con
11409,Tie,Pro,Pro,Pro
11869,Con,Pro,Pro,Pro
12277,Tie,Pro,Pro,Con
12278,Pro,Con,Con,Con
12513,Con,Pro,Pro,Con
13625,Tie,Con,Con,Pro
13973,Pro,Tie,Con,Con
14053,Pro,Tie,Con,Pro
14261,Pro,Tie,Con,Pro
14565,Tie,Con,Con,Con
16468,Tie,Pro,Pro,Tie
17440,Con,Pro,Pro,Con
17747,Tie,Pro,Pro,Con
17747,Tie,Pro,Pro,Con
17856,Pro,Con,Con,Con
17856,Tie,Con,Con,Con
17856,Pro,Con,Con,Con
18035,Con,Tie,Pro,Con
18975,Tie,Con,Con,Pro
18991,Pro,Con,Con,Pro
19145,Pro,Con,Con,Con
19145,Tie,Pro,Pro,Con
19145,Con,Pro,Pro,Con
19885,Tie,Con,Con,Con
20227,Tie,Con,Con,Tie
20227,Tie,Con,Con,Tie
20227,Pro,Con,Con,Tie
20235,Con,Pro,Pro,Pro
20235,Tie,Pro,Pro,Pro
20852,Pro,Con,Con,Con
20943,Tie,Pro,Pro,Tie
21017,Tie,Pro,Pro,Tie
21019,Pro,Con,Con,Tie
21019,Tie,Con,Con,Tie
21117,Tie,Con,Con,Tie
21117,Tie,Pro,Pro,Tie
21117,Tie,Con,Con,Tie
21120,Con,Pro,Pro,Con
21250,Tie,Pro,Pro,Con
21818,Tie,Pro,Pro,Pro
21818,Tie,Pro,Pro,Pro
21820,Pro,Tie,Con,Pro
21820,Tie,Con,Con,Pro
21851,Tie,Con,Con,Con
21871,Tie,Con,Con,Con
23773,Con,Pro,Pro,Tie
23938,Tie,Pro,Pro,Pro
24114,Con,Tie,Pro,Pro
24121,Tie,Pro,Pro,Pro
