feature,kind,n,spearman_rho,spearman_p,spearman_lo95,spearman_hi95,pearson_r,pearson_p,pearson_lo95,pearson_hi95,n_debates,n_voters
mean_margin (raw),composite,833.0,0.036,0.29954,-0.0292,0.103,0.0524,0.13039,-0.0112,0.1173,,
mean_margin (norm),robustness,833.0,0.0286,0.41037,-0.0369,0.0935,0.0541,0.11863,-0.0109,0.1208,,
margin_acknowledgment,per-dimension,833.0,0.0414,0.23235,-0.0225,0.103,0.0487,0.16001,-0.0123,0.1168,,
margin_accuracy_of_representation,per-dimension,833.0,0.0343,0.32244,-0.0307,0.0995,0.0358,0.30244,-0.0207,0.0942,,
margin_responsiveness,per-dimension,833.0,0.0457,0.18782,-0.0205,0.1095,0.0321,0.35528,-0.035,0.1028,,
margin_concession_and_common_ground,per-dimension,833.0,-0.0093,0.78963,-0.0799,0.0622,0.0343,0.3222,-0.0359,0.1042,,
margin_respectful_engagement,per-dimension,833.0,0.0231,0.50535,-0.0466,0.0937,0.0531,0.12583,-0.0141,0.1227,,
mean_margin (raw),composite-weighted,,0.0688,0.0,-0.0312,0.166,0.076,0.0,0.0083,0.1425,833.0,4871.0
mean_margin (norm),robustness-weighted,,0.0613,2e-05,-0.0373,0.158,0.0745,0.0,0.0054,0.1427,833.0,4871.0
margin_acknowledgment,per-dimension-weighted,,0.0637,1e-05,-0.0371,0.1599,0.065,1e-05,0.0031,0.1255,833.0,4871.0
margin_accuracy_of_representation,per-dimension-weighted,,0.0684,0.0,-0.0268,0.1632,0.0595,3e-05,-0.0026,0.1187,833.0,4871.0
margin_responsiveness,per-dimension-weighted,,0.0789,0.0,-0.0171,0.1683,0.0671,0.0,0.0047,0.1266,833.0,4871.0
margin_concession_and_common_ground,per-dimension-weighted,,0.015,0.29624,-0.0779,0.1136,0.0271,0.05815,-0.0425,0.0975,833.0,4871.0
margin_respectful_engagement,per-dimension-weighted,,0.0511,0.00036,-0.0427,0.147,0.0616,2e-05,-0.0125,0.1371,833.0,4871.0
