dim,subvote,n,rho,p,rho_wtd,p_wtd,q_bh,q_bh_wtd
acknowledgment,better_conduct,833,0.1993,0.0,0.1144,0.0,0.0,0.0
acknowledgment,better_spelling_and_grammar,833,0.2045,0.0,0.148,0.0,0.0,0.0
acknowledgment,more_convincing_arguments,833,0.2908,0.0,0.2481,0.0,0.0,0.0
acknowledgment,most_reliable_sources,833,0.1997,0.0,0.1611,0.0,0.0,0.0
accuracy_of_representation,better_conduct,833,0.1958,0.0,0.1486,0.0,0.0,0.0
accuracy_of_representation,better_spelling_and_grammar,833,0.193,0.0,0.1828,0.0,0.0,0.0
accuracy_of_representation,more_convincing_arguments,833,0.2142,0.0,0.1959,0.0,0.0,0.0
accuracy_of_representation,most_reliable_sources,833,0.1442,3e-05,0.1204,0.0,5e-05,0.0
responsiveness,better_conduct,833,0.205,0.0,0.1508,0.0,0.0,0.0
responsiveness,better_spelling_and_grammar,833,0.2016,0.0,0.168,0.0,0.0,0.0
responsiveness,more_convincing_arguments,833,0.2799,0.0,0.2582,0.0,0.0,0.0
responsiveness,most_reliable_sources,833,0.1818,0.0,0.1652,0.0,0.0,0.0
concession_and_common_ground,better_conduct,833,0.0035,0.91872,-0.0364,0.01097,0.91872,0.01219
concession_and_common_ground,better_spelling_and_grammar,833,-0.014,0.68558,-0.0235,0.10093,0.72166,0.10093
concession_and_common_ground,more_convincing_arguments,833,-0.0594,0.08683,-0.0439,0.00216,0.12404,0.00254
concession_and_common_ground,most_reliable_sources,833,-0.0211,0.544,-0.0729,0.0,0.60444,0.0
respectful_engagement,better_conduct,833,0.1344,0.0001,0.088,0.0,0.00015,0.0
respectful_engagement,better_spelling_and_grammar,833,0.0355,0.30548,0.055,0.00012,0.35939,0.00015
respectful_engagement,more_convincing_arguments,833,0.0406,0.24125,0.0669,0.0,0.30156,0.0
respectful_engagement,most_reliable_sources,833,0.0413,0.23364,0.0311,0.03018,0.30156,0.03177
